,   Arya,   Bran,Brienne,Catelyn, Cersei,  Jaime,    Sam,  Sansa, Tyrion,  Varys
   Arya,0.000000,25.000000,12.000000,34.000000,18.000000,28.000000,2.000000,71.000000,16.000000,8.000000
   Bran,25.000000,0.000000,2.000000,49.000000,5.000000,10.000000,86.000000,46.000000,17.000000,0.000000
Brienne,12.000000,2.000000,0.000000,42.000000,44.000000,418.000000,0.000000,17.000000,31.000000,2.000000
Catelyn,34.000000,49.000000,42.000000,0.000000,16.000000,83.000000,4.000000,47.000000,14.000000,5.000000
 Cersei,18.000000,5.000000,44.000000,16.000000,0.000000,208.000000,8.000000,114.000000,261.000000,30.000000
  Jaime,28.000000,10.000000,418.000000,83.000000,208.000000,0.000000,2.000000,49.000000,176.000000,30.000000
    Sam,2.000000,86.000000,0.000000,4.000000,8.000000,2.000000,0.000000,0.000000,5.000000,4.000000
  Sansa,71.000000,46.000000,17.000000,47.000000,114.000000,49.000000,0.000000,0.000000,303.000000,31.000000
 Tyrion,16.000000,17.000000,31.000000,14.000000,261.000000,176.000000,5.000000,303.000000,0.000000,127.000000
  Varys,8.000000,0.000000,2.000000,5.000000,30.000000,30.000000,4.000000,31.000000,127.000000,0.000000
,0.000000,0.222222,0.000000,0.000000,0.000000,0.333333,0.000000,0.472222,0.583333,0.000000,
